"Guid","Subcategory","EventID","SourceUrl","Fetched"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4878","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4879","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4880","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4881","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4882","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4883","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4884","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4885","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4886","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4887","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4888","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4889","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4890","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4891","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4892","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4893","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4894","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4895","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4896","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4897","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4898","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-certification-services","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4899","https://www.microsoft.com/download/details.aspx?id=52630","2026-09-04"
"0CCE9221-69AE-11D9-BED3-505054503030","Certification Services","4900","https://www.microsoft.com/download/details.aspx?id=52630","2026-09-04"
"0CCE9236-69AE-11D9-BED3-505054503030","Computer Account Management","4741","https://learn.microsoft.com/windows/security/threat-protection/auditing/audit-computer-account-management","2026-09-04"
